"modules"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"M1"	7607.82254271154	7346.75751438462	7567.10950176923	7405.90453903846	7424.05616169231	7393.43814540385	7684.64571021154	7462.16571438461	7733.25121446154	7430.56084478846	7534.79168230769	7295.42641401923	7441.34393632692	7341.25759126923	7650.35244546154	7451.87719378846	7418.08689286538	7395.54591	7385.61602248077	7467.50524067308	7535.76008123077	7152.51825492308
"M2"	7666.62620136538	10128.4279275385	9024.83237392308	8739.04557005769	9311.42984817308	8518.53691263462	9437.92578280769	8796.93704669231	7651.36296032692	9156.23159515385	8333.58128938462	9406.84438892308	9047.20653890385	9553.40813532692	8534.11910419231	7640.92886461539	7564.31822980769	6899.04267021154	9260.60155961538	7867.89402757692	7926.12913063462	9830.21328940385
"M3"	8481.99181803846	8227.7774605	8137.91357530769	7614.77901465385	7540.00372780769	7703.06958015385	8237.49947292308	7523.83152211538	8717.1166865	8295.57526723077	8403.68805057692	7716.28857284615	8451.16970492308	7836.684395	8028.75834865385	7884.73812892308	8660.13318815385	8212.47643261538	8004.76299534615	8466.7199695	7924.15298596154	7518.31764638462
"M4"	9594.90591194231	9636.962795	8569.55202192308	9731.18914634615	10868.7095886538	10795.0717798077	8207.52863692308	10539.2999382692	8477.82694457692	10757.9511982692	8820.03081161538	9596.57472026923	9063.29696036538	10357.6122831538	8723.57649357692	10138.5016436346	11050.8035848077	10493.1157986538	10617.7825846154	9790.29661790384	9707.34990271154	10077.3403954808
"M5"	6149.10459169231	5216.17044080769	5351.20891415384	5759.85098334615	4855.07279803846	4934.17591073077	5245.59625919231	5525.71489453846	6342.87615384615	5111.91366346154	4963.16336107692	5280.08721007692	5792.14766680769	5856.81032276923	4987.57135211539	5061.91103246154	6503.59535057692	6130.44871107692	4954.18449965385	5687.25939188462	4918.34271288462	6956.68426557692
"M6"	5841.72378484615	6239.06970380769	5792.14766680769	9057.27918061539	7150.36907126923	7016.28228957692	6047.05304046154	8784.36970003846	6215.53899796154	7470.02731153846	6144.33932338462	9204.79801311539	6161.80332203846	6915.85329476923	6901.27240419231	7335.82816638462	6221.77421269231	8602.60574838461	6999.58331592308	5714.66372692308	7736.92942923077	6539.63460007692
"M7"	5276.65186946154	5555.64220196154	5988.86375719231	4813.83056938462	5300.03740961538	5469.27539880769	5603.12050057692	4793.21149061538	6022.12399996154	5559.38181719231	6413.78161242308	5683.26826307692	7320.13656803846	6784.24611626923	7104.49937738461	5830.56885307692	7805.40367761538	6837.47268973077	5657.87816573077	6846.54922515385	5920.57866980769	5123.62206792308
"M8"	7675.23564326923	8198.49200873077	7961.99633757692	8403.68805057692	9161.93656661539	8302.94236580769	7377.10792446154	7856.85433769231	7095.88024688462	7696.78377046154	7696.78377046154	8544.49316288462	7961.99633757692	7646.93328888462	8169.14311846154	8767.10297930769	8137.91357530769	8643.59260180769	9085.99573034615	7908.97834634615	9085.99573034615	8899.09978196154
"Not.Correlated"	13329.0426823077	13293.2946567308	11523.7365709423	12064.9485973846	12378.2745578654	13431.2213528077	13745.4251880769	12270.8816701923	13426.1714863462	12761.6263646154	12923.7244678846	12520.9278961346	12787.2512242308	12420.0791965962	13736.8136025	13086.5886726731	11332.6272397115	13954.8874855769	15484.0464390385	12155.2214653654	13765.0180625	12482.5991647308
